	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66
	7BC	5BC	26	27	27	27	28	28	29	29	29	29	29	29	29	29	29	30	30	30	30	30	30	30																																										
Jhn	26	30	30	30	31	32	32	32	32	32	33	33	33	33	33	33	33	33	33	33	33																																													
	26	27	27	27	27	29	29	29	29	29	29	30	30	30	30	30	30	30	30	30	30																																													
Act	33	33	33	33	33	33	33	34	35	41	41	44	44	45	51	53	53	54	56	59	60	60	60	60	60	62	62	62																																						
	30	30	30	30	30	30	30	32	33	39	41	44	46	47	48	48	49	50	53	56	57	57	58	58	58	58	59	60																																						
Rom	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60																																																		
	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56																																																		
1Co	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59																																																		
	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53																																																		
2Co	60	60	60	60	60	60	60	60	60	60	60	60	60																																																					
	56	56	56	56	56	56	56	56	56	56	56	56	56																																																					
Gal	58	58	58	58	58	58																																																												
	48	48	48	48	48	48																																																												
Eph	64	64	64	64	64	64																																																												
	62	62	62	62	62	62																																																												
Php	64	64	64	64																																																														
	55	55	55	55																																																														
Col	64	64	64	64																																																														
	55	55	55	55																																																														
1Th	54	54	54	54	54																																																													
	50	50	50	50	50																																																													
2Th	54	54	54																																																															
	51	51	51																																																															
1Ti	65	65	65	65	65	65																																																												
	62	62	62	62	62	62																																																												
2Ti	66	66	66	66																																																														
	62	62	62	62																																																														
Tit	65	65	65																																																															
	62	62	62																																																															
Phm	64																																																																	
	55																																																																	
Heb	64	64	64	64	64	64	64	64	64	64	64	64	64																																																					
	62	62	62	62	62	62	62	62	62	62	62	62	62																																																					
Jas	60	60	60	60	60																																																													
	57	57	57	57	57																																																													
1Pe	60	60	60	60	60																																																													
	57	57	57	57	57																																																													
2Pe	66	66	66																																																															
	62	62	62																																																															
1Jn	90	90	90	90	90																																																													
	90	90	90	90	90																																																													
2Jn	90																																																																	
	90																																																																	
3Jn	90																																																																	
	90																																																																	
Jud	66																																																																	
	62																																																																	
Rev	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96																																												
	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96																																												
