#!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
#!
#! ISO language codes (2-char and 3-char).  From https://www.loc.gov/standards/iso639-2/php/code_list.php,
#! augmented by entries from the Ethnologue.  See also
#! https://en.wikipedia.org/wiki/List_of_ISO_639_language_codes and the places
#! it points to.
#!
#! Format is:
#!
#!   3-char code | 2-char code where available | language name | comma-separated list of countries where language is used.
#!
#! where ' | ' represents a tab.
#!
#!
#!
#! Manual changes
#! ==============
#!
#! The 3-char code for Bengali (ben) does have a 2-char equivalent (bn).
#! However, I have removed the 2-char code below, because if we use it, texts
#! are recorded as Bangala rather than Bengali.  In fact, Bangala is a
#! recognised alternative to Bengali, but we have decided we want the texts
#! displayed as Bengali.
#!
#!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!

ari		Arikara	United States
arj		Arapaso	Brazil
ark		Arikapú	Brazil
arl		Arabela	Peru
arn		Mapudungun	Argentina, Chile
aro		Araona	Bolivia
arp		Arapaho	United States
arq		Algerian Arabic	Algeria
arr		Karo	Brazil
ars		Najdi Arabic	Iraq, Jordan, Saudi Arabia, Syria
aru		Aruá	Brazil
arv		Arbore	Ethiopia
arw		Arawak	French Guiana, Suriname
arx		Aruá	Brazil
ary		Moroccan Arabic	Western Sahara, Morocco
arz		Egyptian Arabic	Egypt
asa		Asu	Tanzania
asb		Assiniboine	Canada
asc		Casuarina Coast Asmat	Indonesia
ase		American Sign Language	United States
asf		Auslan	Australia
asg		Cishingini	Nigeria
ash		Awishira	Peru
asi		Buruwai	Indonesia
asj		Sari	Cameroon
ask		Ashkun	Afghanistan
asl		Asilulu	Indonesia
asm	as	Assamese	India
asn		Asurini of Xingú	Brazil
aso		Dano	Papua New Guinea
asp		Algerian Sign Language	Algeria
asq		Austrian Sign Language	Austria
asr		Asuri	India
ass		Ipulo	Cameroon
ast		Asturian	Spain, Portugal
asu		Tocantins Asurini	Brazil
asv		Asoa	Democratic Republic of the Congo
asw		Australian Aborigines Sign Language	Australia
asx		Muratayak	Papua New Guinea
asy		Yaosakor Asmat	Indonesia
asz		As	Indonesia
ata		Pele-Ata	Papua New Guinea
atb		Zaiwa	China, Myanmar
atc		Atsahuaca	Peru
atd		Ata Manobo	Philippines
ate		Mand	Papua New Guinea
atg		Ivbie North-Okpela-Arhe	Nigeria
ati		Attié	Côte d’Ivoire
atj		Atikamekw	Canada
atk		Ati	Philippines
atl		Mt. Iraya Agta	Philippines
atm		Ata	Philippines
atn		Ashtiani	Iran
ato		Atong	Cameroon
atp		Pudtol Atta	Philippines
atq		Aralle-Tabulahan	Indonesia
atr		Waimiri-Atroarí	Brazil
ats		Gros Ventre	United States
att		Pamplona Atta	Philippines
atu		Reel	South Sudan
atv		Northern Altai	Russian Federation
atw		Atsugewi	United States
atx		Arutani	Brazil, Venezuela
aty		Aneityum	Vanuatu
atz		Arta	Philippines
aua		Asumboa	Solomon Islands
aub		Alugu	China
auc		Waorani	Ecuador
aud		Anuta	Solomon Islands
aug		Aguna	Benin, Togo
auh		Aushi	Democratic Republic of the Congo, Zambia
aui		Anuki	Papua New Guinea
auj		Awjilah	Libya
auk		Heiyoho	Papua New Guinea
aul		Aulua	Vanuatu
aum		Asu	Nigeria
aun		Molmo One	Papua New Guinea
auo		Auyokawa	Nigeria
aup		Makayam	Papua New Guinea
auq		Anus	Indonesia
aur		Aruek	Papua New Guinea
aut		Austral	French Polynesia
auu		Auye	Indonesia
auw		Awyi	Indonesia
aux		Aurá	Brazil
auy		Awiyaana	Papua New Guinea
auz		Uzbeki Arabic	Iran, Uzbekistan
ava	av	Avar	Azerbaijan, Georgia, Russian Federation
avb		Avau	Papua New Guinea
avd		Alviri-Vidari	Iran
ave	ae	Avestan	Iran
avi		Avikam	Côte d’Ivoire
avl		Levantine Bedawi Arabic	Egypt, Jordan, Palestine
avm		Angkamuthi	Australia
avn		Avatime	Ghana
avo		Agavotaguerra	Brazil
avs		Aushiri	Peru
avt		Au	Papua New Guinea
avu		Avokaya	Democratic Republic of the Congo, South Sudan
avv		Avá-Canoeiro	Brazil
awa		Avadhi	India, Nepal
awb		Awa	Papua New Guinea
awc		Cicipu	Nigeria
awe		Awetí	Brazil
awg		Anguthimri	Australia
awh		Awbono	Indonesia
awi		Aekyom	Papua New Guinea
awk		Awabakal	Australia
awm		Taupi	Papua New Guinea
awn		Awngi	Ethiopia
awo		Awak	Nigeria
awr		Awera	Indonesia
aws		South Awyu	Indonesia
awt		Araweté	Brazil
awu		Central Awyu	Indonesia
awv		Jair Awyu	Indonesia
aww		Awun	Papua New Guinea
awx		Awara	Papua New Guinea
awy		Edera Awyu	Indonesia
axb		Abipon	Argentina
axe		Ayerrerenge	Australia
axg		Mato Grosso Arára	Brazil
axk		Aka	Central African Republic, Congo
axl		Lower Southern Aranda	Australia
axx		Xârâgurè	New Caledonia
aya		Awar	Papua New Guinea
ayb		Ayizo Gbe	Benin
ayc		Southern Aymara	Peru
ayd		Ayabadhu	Australia
aye		Ayere	Nigeria
ayg		Ginyanga	Togo
ayh		Hadrami Arabic	Yemen
ayi		Leyigha	Nigeria
ayk		Akuku	Nigeria
ayl		Libyan Arabic	Egypt, Libya, Niger
ayn		Sanaani Arabic	Yemen
ayo		Ayoreo	Bolivia, Paraguay
ayp		North Mesopotamian Arabic	Iraq, Syria, Turkey
ayq		Ayi	Papua New Guinea
ayr		Central Aymara	Bolivia, Chile, Peru
ays		Sorsogon Ayta	Philippines
ayt		Magbukun Ayta	Philippines
ayu		Ayu	Nigeria
ayz		Mai Brat	Indonesia
aza		Azha	China
azb		South Azerbaijani	Iraq, Iran, Turkey
azd		Eastern Durango Nahuatl	Mexico
azg		San Pedro Amuzgos Amuzgo	Mexico
azj		North Azerbaijani	Armenia, Azerbaijan, Georgia
azm		Ipalapa Amuzgo	Mexico
azn		Western Durango Nahuatl	Mexico
azo		Awing	Cameroon
azt		Faire Atta	Philippines
azz		Highland Puebla Nahuatl	Mexico
baa		Babatana	Solomon Islands
bab		Bainouk-Gunyuño	Guinea-Bissau
bac		Badui	Indonesia
bae		Baré	Venezuela
baf		Nubaca	Cameroon
bag		Tuki	Cameroon
bah		Bahamas English Creole	Bahamas
baj		Barakai	Indonesia
bak	ba	Bashkort	Russian Federation
bam	bm	Bamanankan	Côte d’Ivoire, Mali
ban		Bali	Indonesia
bao		Waimaha	Brazil, Colombia
bap		Bantawa	India, Nepal
bar		Bavarian	Austria
bas		Basaa	Cameroon
bau		Mbat	Nigeria
bav		Vengo	Cameroon
baw		Bambili-Bambui	Cameroon
bax		Bamun	Cameroon
bay		Gwatlelir	Indonesia
bba		Baatonum	Benin, Nigeria
bbb		Barai	Papua New Guinea
bbc		Batak Toba	Indonesia
bbd		Fulumu	Papua New Guinea
bbe		Bangba	Democratic Republic of the Congo
bbf		Baibai	Papua New Guinea
bbg		Barama	Gabon
bbh		Bugan	China
bbi		Barombi	Cameroon
bbj		Ghomálá’	Cameroon
bbk		Babanki	Cameroon
bbl		Bats	Georgia
bbm		Babango	Democratic Republic of the Congo
bbn		Uneapa	Papua New Guinea
bbo		Konabéré	Burkina Faso, Mali
bbp		West Central Banda	Central African Republic
bbq		Chopechop	Cameroon
bbr		Girawa	Papua New Guinea
bbs		Iyongiyong	Nigeria
bbt		Burku	Nigeria
bbu		Kulung	Nigeria
bbv		Karnai	Papua New Guinea
bbw		Supapya	Cameroon
bbx		Bubia	Cameroon
bby		Befang	Cameroon
bca		Central Bai	China
bcb		Bainouk-Samik	Senegal
bcc		Southern Balochi	Iran, Pakistan
bcd		North Babar	Indonesia
bce		Mengambo	Cameroon
bcf		Bamu	Papua New Guinea
bcg		Baga Pokur	Guinea
bch		Bariai	Papua New Guinea
bci		Baoulé	Côte d’Ivoire
bcj		Bardi	Australia
bck		Bunuba	Australia
bcl		Central Bikol	Philippines
bcm		Bannoni	Papua New Guinea
bcn		Bali	Nigeria
bco		Kaluli	Papua New Guinea
bcp		Bali	Democratic Republic of the Congo
bcq		Bench	Ethiopia
bcr		Babine	Canada
bcs		Hohumono	Nigeria
bct		Bendi	Democratic Republic of the Congo
bcu		Awad Bing	Papua New Guinea
bcv		Shoo-Minda-Nye	Nigeria
bcw		Bana	Cameroon
bcy		Bacama	Nigeria
bcz		Bainouk-Gunyaamolo	Senegal
bda		Bayot	Guinea-Bissau, Senegal
bdb		Basap	Indonesia
bdc		Embera Baudó	Colombia
bdd		Bunama	Papua New Guinea
bde		Bade	Nigeria
bdf		Biage	Papua New Guinea
bdg		Bonggi	Malaysia
bdh		Baka	Democratic Republic of the Congo, South Sudan
bdi		Burun	Sudan
bdj		Bai	South Sudan
bdk		Budukh	Azerbaijan
bdl		Indonesian Bajau	Indonesia
bdm		Buduma	Cameroon, Nigeria, Chad
bdn		Baldemu	Cameroon
bdo		Morom	Chad
bdp		Bende	Tanzania
bdq		Bahnar	Vietnam
bdr		West Coast Bajau	Malaysia
bds		Burunge	Tanzania
bdt		Bhogoto	Central African Republic
bdu		Oroko	Cameroon
bdv		Bodo Parja	India
bdw		Baham	Indonesia
bdx		Budong-Budong	Indonesia
bdy		Bandjalang	Australia
bdz		Badeshi	Pakistan
bea		Beaver	Canada
beb		Bebele	Cameroon
bec		Iceve-Maci	Cameroon, Nigeria
bed		Bedoanas	Indonesia
bee		Byangsi	India, Nepal
bef		Benabena	Papua New Guinea
beg		Belait	Brunei
beh		Biali	Burkina Faso, Benin, Togo
bei		Bakati’	Indonesia
bej		Bedawiyet	Egypt, Eritrea, Sudan
bek		Bebeli	Papua New Guinea
bel	be	Belarusian	Belarus
bem		Bemba	Democratic Republic of the Congo, Zambia
ben		Bengali	Bangladesh, India
beo		Bedamuni	Papua New Guinea
bep		Behoa	Indonesia
beq		Beembe	Congo
bes		Besme	Chad
bet		Guiberoua Bété	Côte d’Ivoire
beu		Blagar	Indonesia
bev		Daloa Bété	Côte d’Ivoire
bew		Betawi	Indonesia
bex		Jur Modo	South Sudan
bey		Beli	Papua New Guinea
bez		Bena	Tanzania
bfa		Bari	South Sudan
bfb		Pauri Bareli	India
bfc		Panyi Bai	China
bfd		Bafut	Cameroon
bfe		Betaf	Indonesia
bff		Bofi	Central African Republic
bfg		Busang Kayan	Indonesia
bfh		Blafe	Papua New Guinea
bfi		British Sign Language	United Kingdom
bfj		Chufie’	Cameroon
bfk		Ban Khor Sign Language	Thailand
bfl		Banda-Ndélé	Central African Republic
bfm		Mmen	Cameroon
bfn		Bunak	Indonesia, East Timor
bfo		Malba Birifor	Burkina Faso
bfp		Beba	Cameroon
bfq		Badaga	India
bfr		Bazigar	India
bfs		Southern Bai	China
bft		Balti	India, Pakistan
bfu		Gahri	India
bfw		Bondo	India
bfx		Bantayanon	Philippines
bfy		Bagheli	India
bfz		Mahasu Pahari	India
bga		Gwamhi-Wuri	Nigeria
bgb		Bobongko	Indonesia
bgc		Haryanvi	India
bgd		Rathwi Bareli	India
bge		Bauria	India
bgf		Bangandu	Cameroon
bgg		Bugun	India
bgi		Bagobo-Klata	Philippines
bgj		Mendenkye	Cameroon
bgk		Bit	China, Laos
bgl		Bo	Laos
bgn		Western Balochi	Afghanistan, Iran, Pakistan
bgo		Baga Koga	Guinea
bgp		Eastern Balochi	Pakistan
bgq		Bagri	India
bgr		Bawm Chin	Bangladesh, India, Myanmar
bgs		Tagabawa	Philippines
bgt		Bughotu	Solomon Islands
bgu		Mbongno	Cameroon, Nigeria
bgv		Warkay-Bipim	Indonesia
bgw		Bhatri	India
bgx		Balkan Gagauz Turkish	Turkey
bgy		Benggoi	Indonesia
bgz		Banggai	Indonesia
bha		Bharia	India
bhb		Bhili	India
bhc		Biga	Indonesia
bhd		Bhadrawahi	India
bhe		Bhaya	Pakistan
bhf		Odiai	Papua New Guinea
bhg		Binandere	Papua New Guinea
bhh		Bukharic	Israel
bhi		Bhilali	India
bhj		Bahing	Nepal
bhl		Bimin	Papua New Guinea
bhm		Bathari	Oman
bhn		Bohtan Neo-Aramaic	Georgia
bho		Bhojpuri	India, Nepal
bhp		Bima	Indonesia
