#!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
#!
#! There are a number of different sources of information as regards books and
#! the order in which they appear:
#!
#! Details of these can be found at:
#!
#! - UBS: https://ubsicap.github.io/usfm/identification/books.html
#!
#! - USX: https://paratext.thedigitalbiblelibrary.org/static/docs/usx/vocabularies.html
#!
#! - OSIS: https://www2.crosswire.org/osis/OSIS%202.1.1%20User%20Manual%2006March2006.pdf
#!   Appendix C1 or https://wiki.crosswire.org/OSIS_Book_Abbreviations#cite_note-10.
#!
#!
#! There is also a fourth collection below -- the names needed in the JSON files
#! we create in support of our own osis2mod, giving verse-structure and mapping
#! details.  These need to follow Crosswire practice, which unfortunately to some
#! extent represents yet another scheme.
#!
#! I did at one stage think that the Crosswire header files might also have a
#! thing or two to say on the subject, but in fact I think they are not so
#! relevant after all: they merely say which of the possible books appear within
#! the various versification schemes for which they cater.
#!
#! I had also assumed that the OSIS reference manual would be definitive, but in
#! fact Crosswire have their own greatly expanded list of books, and I now
#! believe this to be the list to be which we should be working.
#!
#! Unfortunately, their list contains quite a lot of books which do not appear
#! in the USX scheme, nor, so far as I can see, in the UBS document upon which
#! USX is based.  This means that in theory we lack USX abbreviations and names
#! for these books.  This is unfortunate, because I really need abbreviations
#! for the sake of uniformity.  These entries in the data below are marked with
#! a tilde in the data below so I don't lose track of them.  The processing
#! replaces the tildes with a copy of the OSIS abbreviation and name for the
#! sake of having something I can work with.
#!
#! There are also some places where the Crosswire list gives a USX abbreviation,
#! but not one -- so far as I can see -- which actually appears in the USX
#! or UBS documentation.  Pending further investigation, I have retained the
#! abbreviation given in the Crosswire documentation, but placed a tilde at
#! the front so I don't lose track of the ones with which I have a potential
#! issue.
#!
#! Incidentally, it doesn't matter if there are some books which USX does not
#! appear to support, since presumably we're simply not going to see them in
#! any USX input, so it doesn't greatly matter what pretend name we give to
#! them.
#!
#!
#!
#! IMPORTANT
#! =========
#!
#! m_DcStart in BibleAnatomy assumes Tobit is the first DC entry.
#! m_DcEnd in BibleAnatomy assumes 'DUMMY' is the last DC entry.
#! Processing assumes that the DC books run contiguously.
#!
#! If you need to change any of the above, the definitions of m_DcStart and
#! m_DcEnd may need to be changed and / or processing may need to be revised.
#!
#!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!

#BookNo	OsisAbbreviation	OsisShortName	UsxAbbreviation	UsxShortName	ImpAbbreviation	ImpShortName	JsonAbbreviation	JsonShortName
76	EpJer	Letter of Jeremiah	Lje	Letter of Jeremiah	EpJer	Letter of Jeremiah	Ep Jer	Epistle of Jeremiah
77	DanGr	Greek Daniel	Dag	Daniel Greek	DanGr	Greek Daniel	NoEquivalent	No equivalent to DanGr
78	AddDan	Additions to Daniel	~	~	AddDan	Additions to Daniel	NoEquivalent	No equivalent to AddDan
79	PrAzar	Prayer of Azariah	S3Y	Song of the Three Young Men	PrAzar	Prayer of Azariah	Pr Azar	Prayer of Azariah
80	Sus	Susanna	Sus	Susannah	Sus	Susanna	Sus	Susanna
81	Bel	Bel and the Dragon	Bel	Bel and the Dragon	Bel	Bel and the Dragon	Bel	Bel and the Dragon
82	1Macc	1 Maccabees	1Ma	1 Maccabees	1Macc	1 Maccabees	1 Macc	1 Maccabees
83	2Macc	2 Maccabees	2Ma	2 Maccabees	2Macc	2 Maccabees	2 Macc	2 Maccabees
84	3Macc	3 Maccabees	3Ma	3 Maccabees	3Macc	3 Maccabees	3 Macc	3 Maccabees
85	4Macc	4 Maccabees	4Ma	4 Maccabees	4Macc	4 Maccabees	4 Macc	4 Maccabees
86	PrMan	Prayer of Manasseh	Man	Prayer of Manasseh	PrMan	Prayer of Manasseh	Pr Man	Prayer of Manasseh
87	1Esd	1 Esdras	1Es	1 Esdras (Greek)	1Esd	1 Esdras	1 Esd	1 Esdras
88	2Esd	2 Esdras	2Es	2 Esdras (Latin)	2Esd	2 Esdras	2 Esd	2 Esdras
89	AddPs	Psalm 151	Ps2	Psalm 151	AddPs	Psalm 151	Ps151	Psalm 151
90	Odes	Odes	Oda	Odae	Odes	Odes	No equivalent	No equivalent to Odes
91	PssSol	Psalms of Solomon	Pss	Psalms of Solomon	PssSol	Psalms of Solomon	Ps Sol	Psalms of Solomon
92	JoshA	Joshua A	~Jsa	~	JoshA	Joshua A	NoEquivalent	No equivalent to JoshA
93	JudgB	Judges B	~Jdb	~	JudgB	Judges B	NoEquivalent	No equivalent to JudgB
94	TobS	Tobit S	~Tbs	~	TobS	Tobit S	NoEquivalent	No equivalent to TobS
95	SusTh	Susanna θ	~Sst	~	SusTh	Susanna θ	NoEquivalent	No equivalent to SusTh
96	DanTh	Daniel θ	~Dnt	~	DanTh	Daniel θ	NoEquivalent	No equivalent to DanTh
97	BelTh	Bel and the Dragon θ	~Blt	~	BelTh	Bel and the Dragon θ	NoEquivalent	No equivalent to BelTh
98	EpLao	Epistle to the Laodiceans	Lao	Laodiceans	EpLao	Epistle to the Laodiceans	Ep Lao	Epistle to the Laodiceans
99	5Ezra	5 Ezra	~5Ez	~	5Ezra	5 Ezra	NoEquivalent	No equivalent to 5Ezra
100	4Ezra	4 Ezra	~Eza	~	4Ezra	4 Ezra	NoEquivalent	No equivalent to 4Ezra
101	6Ezra	6 Ezra	~6Ez	~	6Ezra	6 Ezra	NoEquivalent	No equivalent to 6Ezra
102	PrSol	Prayer of Solomon	~Pso	~	PrSol	Prayer of Solomon	NoEquivalent	No equivalent to PrSol
103	PrJer	Prayer of Jeremiah	~Pje	~	PrJer	Prayer of Jeremiah	NoEquivalent	No equivalent to PrJer
104	1En	1 Enoch	~Eno	~	1En	1 Enoch	NoEquivalent	No equivalent to 1En
105	Jub	Jubilees	~Jub	~	Jub	Jubilees	NoEquivalent	No equivalent to Jub
106	4Bar	4 Baruch	~4ba	~	4Bar	4 Baruch	NoEquivalent	No equivalent to 4Bar
107	1Meq	1 Meqabyan	~1Mq	~	1Meq	1 Meqabyan	NoEquivalent	No equivalent to 1Meq
108	2Meq	2 Meqabyan	~2Mq	~	2Meq	2 Meqabyan	NoEquivalent	No equivalent to 2Meq
109	3Meq	3 Meqabyan	~3Mq	~	3Meq	3 Meqabyan	NoEquivalent	No equivalent to 3Meq
110	Rep	Reproof	~Rep	~	Rep	Reproof	NoEquivalent	No equivalent to Rep
111	AddJer	Additions to Jeremiah	~XAddJer	~	AddJer	Additions to Jeremiah	NoEquivalent	No equivalent to AddJer
112	PsJos	Pseudo-Josephus	~XPsJos	~	PsJos	Pseudo-Josephus	NoEquivalent	No equivalent to PsJos
113	EpCorPaul	Epistle of the Corinthians to Paul	~Cop	~	EpCorPaul	Epistle of the Corinthians to Paul	NoEquivalent	No equivalent to EpCorPaul
114	3Cor	3 Corinthians	~3Co	~	3Cor	3 Corinthians	NoEquivalent	No equivalent to 3Cor
115	WSir	Words of Sirach	~Wsi	~	WSir	Words of Sirach	NoEquivalent	No equivalent to WSir
116	PrEuth	Prayer of Euthalius	~Eut	~	PrEuth	Prayer of Euthalius	NoEquivalent	No equivalent to PrEuth
117	DormJohn	Dormition of John	~Doj	~	DormJohn	Dormition of John	NoEquivalent	No equivalent to DormJohn
118	JosAsen	Joseph and Asenath	~XJosAsen	~	JosAsen	Joseph and Asenath	NoEquivalent	No equivalent to JosAsen
119	T12Patr	Testaments of the Twelve Patriarchs (composed of:)	~XT12Patr	~	T12Patr	Testaments of the Twelve Patriarchs (composed of:)	NoEquivalent	No equivalent to T12Patr
